name_first_last,weight,mlb_g,height_inches,round_sort,round,draft_type,bats,description,height_feet,pick,year,name_last_first,overall,milb_g,team_full,league_full,primary_position,team_abbrev,birth_date,throws,league_id,school,trans_date,signed_sw,round_desc,mlbamPlayerID,mlbamTeamID
Steve Chasteen,,N,,4,4,JR,,June Amateur Draft,,5,1983,"Chasteen, Steve",85,N,Oakland Athletics,American League,P,OAK,,,103,"Patrick Henry HS (San Diego, CA)",,N,Round 4,556646,133
Terry Edwards,,N,,4,4,JR,,June Amateur Draft,,6,1983,"Edwards, Terry",86,N,Chicago Cubs,National League,OF,CHC,,,104,Central State,,N,Round 4,558132,112
Bill Wilkinson,160,Y,10,4,4,JR,R,June Amateur Draft,5,7,1983,"Wilkinson, Bill",87,Y,Seattle Mariners,American League,P,SEA,1964-08-10T00:00:00,L,103,"Cherry Creek HS (Englewood, CO)",,N,Round 4,124275,136
Gregory Dube,,N,0,4,4,JR,,June Amateur Draft,,8,1983,"Dube, Gregory",88,N,Houston Astros,National League,P,HOU,,,104,Portland,,N,Round 4,476346,117
Jeff Hearron,195,Y,1,4,4,JR,R,June Amateur Draft,6,9,1983,"Hearron, Jeff",89,Y,Toronto Blue Jays,American League,C,TOR,1961-11-19T00:00:00,R,103,Texas,,N,Round 4,115673,141
Todd Crosby,175,N,10,4,4,JR,S,June Amateur Draft,5,10,1983,"Crosby, Todd",90,Y,San Diego Padres,National League,SS,SD,1965-02-22T00:00:00,R,104,"El Camino Real HS (Woodland Hills, CA)",,N,Round 4,456268,135
Glenn Edwards,,N,,4,4,JR,,June Amateur Draft,,11,1983,"Edwards, Glenn",91,N,Cleveland Indians,American League,OF,CLE,,,103,Oklahoma State,,N,Round 4,558117,114
Thomas Powers,235,N,3,4,4,JR,R,June Amateur Draft,6,12,1983,"Powers, Thomas",92,Y,Pittsburgh Pirates,National League,P,PIT,1966-03-07T00:00:00,R,104,"Mount Carme) HS (South Holland, IL)",,N,Round 4,464506,134
Mitch Lyden,225,Y,3,4,4,JR,R,June Amateur Draft,6,13,1983,"Lyden, Mitch",93,Y,New York Yankees,American League,OF,NYY,1964-12-14T00:00:00,R,103,Beaverton HS (OR),,N,Round 4,118024,147
Charles Soma,,N,,4,4,JR,,June Amateur Draft,,14,1983,"Soma, Charles",94,N,Montreal Expos,National League,P,MON,,,104,UC Irvine,,N,Round 4,567450,120
Alan Dunn,185,N,11,4,4,JR,R,June Amateur Draft,5,15,1983,"Dunn, Alan",95,N,Detroit Tigers,American League,P,DET,1961-11-19T00:00:00,R,103,Alabama,,N,Round 4,492934,116
Charlie Hayes,205,Y,0,4,4,JR,R,June Amateur Draft,6,16,1983,"Hayes, Charlie",96,Y,San Francisco Giants,National League,3B,SF,1965-05-29T00:00:00,R,104,"Forrest County Agricultural HS (Hattlesburg, MS)",,N,Round 4,115640,137
Bruce Tanner,220,Y,3,4,4,JR,L,June Amateur Draft,6,17,1983,"Tanner, Bruce",97,Y,Chicago White Sox,American League,P,CWS,1961-12-09T00:00:00,R,103,Florida State,,N,Round 4,123088,145
Bert Flores,,N,,4,4,JR,,June Amateur Draft,,18,1983,"Flores, Bert",98,N,Los Angeles Dodgers,National League,OF,LA,,,104,"Mt. Whitney HS (Visalia, CA)",,N,Round 4,558627,119
Tony Latham,,N,,4,4,JR,,June Amateur Draft,,19,1983,"Latham, Tony",99,N,Boston Red Sox,American League,OF,BOS,,,103,Virginia,,N,Round 4,561601,111
Ron Gant,195,Y,0,4,4,JR,R,June Amateur Draft,6,20,1983,"Gant, Ron",100,Y,Atlanta Braves,National League,SS,ATL,1965-03-02T00:00:00,R,104,Victoria HS (TX),,N,Round 4,114567,144
Shawn Abner,190,Y,1,1,1,JR,R,June Amateur Draft,6,1,1984,"Abner, Shawn",1,Y,New York Mets,National League,OF,NYM,1966-06-17T00:00:00,R,104,Mechanicsburg HS (PA),,N,Round 1,110025,121
Bill Swift,180,Y,0,1,1,JR,R,June Amateur Draft,6,2,1984,"Swift, Bill",2,Y,Seattle Mariners,American League,P,SEA,1961-10-27T00:00:00,R,103,Maine,,N,Round 1,123053,136
Drew Hall,205,Y,4,1,1,JR,L,June Amateur Draft,6,3,1984,"Hall, Drew",3,Y,Chicago Cubs,National League,P,CHC,1963-03-27T00:00:00,L,104,Morehead State,,N,Round 1,115335,112
Cory Snyder,185,Y,3,1,1,JR,R,June Amateur Draft,6,4,1984,"Snyder, Cory",4,Y,Cleveland Indians,American League,SS,CLE,1962-11-11T00:00:00,R,103,Brigham Young,,N,Round 1,122509,114
Pat Pacillo,205,Y,2,1,1,JR,R,June Amateur Draft,6,5,1984,"Pacillo, Pat",5,Y,Cincinnati Reds,National League,P,CIN,1963-07-23T00:00:00,R,104,Seton Hall,,N,Round 1,120154,113
Erik Pappas,190,Y,0,1,1,JR,R,June Amateur Draft,6,6,1984,"Pappas, Erik",6,Y,California Angels,American League,C,CAL,1966-04-25T00:00:00,R,103,"Mt. Carmel HS (Chicago, IL)",,N,Round 1,120212,108
Mike Dunne,200,Y,4,1,1,JR,R,June Amateur Draft,6,7,1984,"Dunne, Mike",7,Y,St. Louis Cardinals,National League,P,STL,1962-10-27T00:00:00,R,104,Bradley,,N,Round 1,113642,138
Jay Bell,185,Y,0,1,1,JR,R,June Amateur Draft,6,8,1984,"Bell, Jay",8,Y,Minnesota Twins,American League,SS,MIN,1965-12-11T00:00:00,R,103,"Gonzalez Tate HS (Pensacola, FL)",,N,Round 1,110826,142
Alan Cockrell,210,Y,2,1,1,JR,R,June Amateur Draft,6,9,1984,"Cockrell, Alan",9,Y,San Francisco Giants,National League,OF,SF,1962-12-05T00:00:00,R,104,Tennessee,,N,Round 1,112439,137
Mark McGwire,250,Y,5,1,1,JR,R,June Amateur Draft,6,10,1984,"McGwire, Mark",10,N,Oakland Athletics,American League,1B,OAK,1963-10-01T00:00:00,R,103,Southern California,,N,Round 1,118743,133
Shane Mack,190,Y,0,1,1,JR,R,June Amateur Draft,6,11,1984,"Mack, Shane",11,Y,San Diego Padres,National League,OF,SD,1963-12-07T00:00:00,R,104,UCLA,,N,Round 1,118090,135
Oddibe McDowell,165,Y,9,1,1,JR,L,June Amateur Draft,5,12,1984,"McDowell, Oddibe",12,Y,Texas Rangers,American League,OF,TEX,1962-08-25T00:00:00,L,103,Arizona State,,N,Round 1,118657,140
Bob Caffrey,185,N,1,1,1,JR,R,June Amateur Draft,6,13,1984,"Caffrey, Bob",13,Y,Montreal Expos,National League,C,MON,,R,104,Cal State Fullerton,,N,Round 1,474227,120
John Marzano,195,Y,11,1,1,JR,R,June Amateur Draft,5,14,1984,"Marzano, John",14,Y,Boston Red Sox,American League,C,BOS,1963-02-14T00:00:00,R,103,Temple University,,N,Round 1,118389,111
Kevin Andersh,195,N,2,1,1,JR,L,June Amateur Draft,6,15,1984,"Andersh, Kevin",15,N,Pittsburgh Pirates,National League,P,PIT,1963-10-14T00:00:00,L,104,New Mexico,,N,Round 1,459471,134
Scott Bankhead,185,Y,10,1,1,JR,R,June Amateur Draft,5,16,1984,"Bankhead, Scott",16,Y,Kansas City Royals,American League,P,KC,1963-07-31T00:00:00,R,103,North Carolina,,N,Round 1,110531,118
Don August,190,Y,3,1,1,JR,R,June Amateur Draft,6,17,1984,"August, Don",17,Y,Houston Astros,National League,P,HOU,1963-07-03T00:00:00,R,104,Chapman University,,N,Round 1,110377,117
Isaiah Clark,180,N,0,1,1,JR,R,June Amateur Draft,6,18,1984,"Clark, Isaiah",18,Y,Milwaukee Brewers,American League,SS,MIL,1965-09-19T00:00:00,R,103,Crockett HS (TX),,N,Round 1,461095,158
Drew Denson,210,Y,5,1,1,JR,S,June Amateur Draft,6,19,1984,"Denson, Drew",19,Y,Atlanta Braves,National League,1B,ATL,1965-11-16T00:00:00,R,104,"Purcell Marion HS (Cincinnati, OH)",,N,Round 1,113273,144
Tony Menendez,190,Y,2,1,1,JR,R,June Amateur Draft,6,20,1984,"Menendez, Tony",20,Y,Chicago White Sox,American League,P,CWS,1965-02-20T00:00:00,R,103,"American HS (Hialeah, FL)",,N,Round 1,118949,145
Pete Smith,200,Y,2,1,1,JR,R,June Amateur Draft,6,21,1984,"Smith, Pete",21,Y,Philadelphia Phillies,National League,P,PHI,1966-02-27T00:00:00,R,104,Burlington HS (MA),,N,Round 1,122443,143
Jeff Pries,,N,,1,1,JR,,June Amateur Draft,,22,1984,"Pries, Jeff",22,N,New York Yankees,American League,P,NYY,,,103,UCLA,,N,Round 1,564830,147
Dennis Livingston,185,N,0,1,1,JR,L,June Amateur Draft,6,23,1984,"Livingston, Dennis",23,Y,Los Angeles Dodgers,National League,P,LA,1962-12-23T00:00:00,L,104,Oklahoma State,,N,Round 1,454425,119
Terry Mulholland,225,Y,3,1,1,JR,R,June Amateur Draft,6,24,1984,"Mulholland, Terry",24,Y,San Francisco Giants,National League,P,SF,1963-03-09T00:00:00,L,104,Marietta College,,N,Round 1,119488,137
John Hoover,190,Y,2,1,1,JR,R,June Amateur Draft,6,25,1984,"Hoover, John",25,Y,Baltimore Orioles,American League,P,BAL,1962-11-22T00:00:00,R,103,Fresno State,,N,Round 1,116133,110
Thomas Hartley,,N,0,1,1,JR,,June Amateur Draft,,26,1984,"Hartley, Thomas",26,N,Chicago White Sox,American League,OF,CWS,,,103,"Hudson Bay HS (Vancouver, WA)",,N,Round 1,477234,145
Gary Green,175,Y,3,1,1,JR,R,June Amateur Draft,6,27,1984,"Green, Gary",27,Y,San Diego Padres,National League,SS,SD,1962-01-14T00:00:00,R,104,Oklahoma State,,N,Round 1,115086,135
Norm Charlton,210,Y,3,1,1,JR,S,June Amateur Draft,6,28,1984,"Charlton, Norm",28,Y,Montreal Expos,National League,P,MON,1963-01-06T00:00:00,L,104,Rice,,N,Round 1,112213,120
Lorenzo Sisney,,N,,2,2,JR,,June Amateur Draft,,1,1984,"Sisney, Lorenzo",29,Y,New York Mets,National League,C,NYM,,,104,"Washington HS (Gardena, CA)",,N,Round 2,567121,121
Michael Christ,,N,0,2,2,JR,,June Amateur Draft,,2,1984,"Christ, Michael",30,Y,Seattle Mariners,American League,P,SEA,,,103,Jacksonville University,,N,Round 2,475092,136
Greg Maddux,195,Y,0,2,2,JR,R,June Amateur Draft,6,3,1984,"Maddux, Greg",31,N,Chicago Cubs,National League,P,CHC,1966-04-14T00:00:00,R,104,"Valley HS (Las Vegas, NV)",,N,Round 2,118120,112
John Farrell,210,Y,4,2,2,JR,R,June Amateur Draft,6,4,1984,"Farrell, John",32,Y,Cleveland Indians,American League,P,CLE,1962-08-04T00:00:00,R,103,Oklahoma State,,N,Round 2,114023,114
Curt Krippner,0,N,0,2,2,JR,R,June Amateur Draft,0,5,1984,"Krippner, Curt",33,Y,Cincinnati Reds,National League,P,CIN,1966-06-21T00:00:00,R,104,"Cypress Creek HS (Houston, TX)",,N,Round 2,462245,113
Terry Green,,N,,2,2,JR,,June Amateur Draft,,6,1984,"Green, Terry",34,N,Houston Astros,National League,SS,HOU,,,104,Stringtown HS (OK),,N,Round 2,558834,117
Matt Kinzer,210,Y,2,2,2,JR,R,June Amateur Draft,6,7,1984,"Kinzer, Matt",35,Y,St. Louis Cardinals,National League,P,STL,1963-06-17T00:00:00,R,104,Purdue,,N,Round 2,117103,138
Greg Morhardt,0,N,0,2,2,JR,,June Amateur Draft,0,8,1984,"Morhardt, Greg",36,Y,Minnesota Twins,American League,1B,MIN,1963-10-25T00:00:00,,103,South Carolina,,N,Round 2,563407,142
Joseph Olker,185,N,0,2,2,JR,L,June Amateur Draft,6,9,1984,"Olker, Joseph",37,Y,San Francisco Giants,National League,P,SF,1963-06-04T00:00:00,L,104,Illinois,,N,Round 2,459474,137
Kurtis Dempster,0,N,0,2,2,JR,R,June Amateur Draft,0,10,1984,"Dempster, Kurtis",38,Y,Cleveland Indians,American League,P,CLE,1965-09-19T00:00:00,R,103,"Esperanza HS (Yorba Linda, CA)",,N,Round 2,449595,114
Keith Miller,185,Y,11,2,2,JR,R,June Amateur Draft,5,11,1984,"Miller, Keith",39,Y,New York Yankees,American League,OF,NYY,1963-06-12T00:00:00,R,103,Oral Roberts,,N,Round 2,119090,147
Jimmy Meadows,0,N,0,2,2,JR,R,June Amateur Draft,0,12,1984,"Meadows, Jimmy",40,Y,Texas Rangers,American League,P,TEX,1964-12-28T00:00:00,R,103,Walters State CC,,N,Round 2,466691,140
David Graybill,200,N,2,2,2,JR,R,June Amateur Draft,6,13,1984,"Graybill, David",41,Y,Montreal Expos,National League,P,MON,1964-10-09T00:00:00,R,104,Arizona State,,N,Round 2,465293,120
Scott Wade,0,N,0,2,2,JR,R,June Amateur Draft,0,14,1984,"Wade, Scott",42,Y,Boston Red Sox,American League,OF,BOS,1963-04-26T00:00:00,R,103,Oklahoma State,,N,Round 2,462211,111
Tim McMillan,,N,,2,2,JR,,June Amateur Draft,,15,1984,"McMillan, Tim",43,Y,Pittsburgh Pirates,National League,OF,PIT,,,104,"Oak Hills HS (Scarboro, WV)",,N,Round 2,562849,134
Luis De Santos,,N,,2,2,JR,,June Amateur Draft,,16,1984,"De Santos, Luis",44,N,Kansas City Royals,American League,3B,KC,,,103,"Newtown HS (Elmhurst, NY)",,N,Round 2,557550,118
Karl Allaire,170,N,0,2,2,JR,L,June Amateur Draft,6,17,1984,"Allaire, Karl",45,Y,Houston Astros,National League,SS,HOU,1963-07-21T00:00:00,R,104,Community College of Rhode Island,,N,Round 2,457177,117
Bob Simonson,220,N,4,2,2,JR,R,June Amateur Draft,6,18,1984,"Simonson, Bob",46,Y,Milwaukee Brewers,American League,OF,MIL,1964-05-30T00:00:00,R,103,Taft College,,N,Round 2,455568,158
Tom Glavine,205,Y,0,2,2,JR,L,June Amateur Draft,6,19,1984,"Glavine, Tom",47,Y,Atlanta Braves,National League,P,ATL,1966-03-25T00:00:00,L,104,"Billerica HS (North Billerica, MA)",,N,Round 2,114849,144
Dane Johnson,205,Y,5,2,2,JR,R,June Amateur Draft,6,20,1984,"Johnson, Dane",48,Y,Toronto Blue Jays,American League,P,TOR,1963-02-10T00:00:00,R,103,St. Thomas University (FL),,N,Round 2,116574,141
Marvin Freeman,222,Y,7,2,2,JR,R,June Amateur Draft,6,21,1984,"Freeman, Marvin",49,Y,Philadelphia Phillies,National League,P,PHI,1963-04-10T00:00:00,R,104,Jackson State,,N,Round 2,114410,143
Al Leiter,220,Y,3,2,2,JR,L,June Amateur Draft,6,22,1984,"Leiter, Al",50,Y,New York Yankees,American League,P,NYY,1965-10-23T00:00:00,L,103,"Central Regional HS (Pine Beach, NJ)",,N,Round 2,117652,147
Tim Scott,205,Y,2,2,2,JR,R,June Amateur Draft,6,23,1984,"Scott, Tim",51,Y,Los Angeles Dodgers,National League,P,LA,1966-11-16T00:00:00,R,104,Hanford HS (CA),,N,Round 2,121947,119
Robert Souza,,N,0,2,2,JR,,June Amateur Draft,,24,1984,"Souza, Robert",52,N,Detroit Tigers,American League,P,DET,,,103,Miami (FL),,N,Round 2,475185,116
Jeff Tackett,200,Y,2,2,2,JR,R,June Amateur Draft,6,25,1984,"Tackett, Jeff",53,Y,Baltimore Orioles,American League,C,BAL,1965-12-01T00:00:00,R,103,"Adolfo Camarillo HS (Camarillo, CA)",,N,Round 2,123075,110
Kevin Renz,,N,0,2,2,JR,,June Amateur Draft,,26,1984,"Renz, Kevin",54,Y,Chicago White Sox,American League,P,CWS,,,103,Sam Houston State,,N,Round 2,475267,145
Mark Brunswick,,N,0,3,3,JR,,June Amateur Draft,,1,1984,"Brunswick, Mark",55,N,New York Mets,National League,C,NYM,,,104,Coldwater HS (OH),,N,Round 3,475708,121
Kenneth Spratke,195,N,3,3,3,JR,R,June Amateur Draft,6,2,1984,"Spratke, Kenneth",56,Y,Seattle Mariners,American League,P,SEA,1963-02-24T00:00:00,R,103,Eastern Michigan,,N,Round 3,451908,136
Julius McDougal,0,N,0,3,3,JR,S,June Amateur Draft,0,3,1984,"McDougal, Julius",57,Y,Chicago Cubs,National League,SS,CHC,1963-05-03T00:00:00,R,104,Jackson State,,N,Round 3,454416,112
Todd Brown,215,N,3,3,3,JR,R,June Amateur Draft,6,4,1984,"Brown, Todd",58,Y,Cleveland Indians,American League,OF,CLE,1963-11-15T00:00:00,R,103,Arizona State,,N,Round 3,528546,114
Chris Jones,205,Y,2,3,3,JR,R,June Amateur Draft,6,5,1984,"Jones, Chris",59,Y,Cincinnati Reds,National League,3B,CIN,1965-12-16T00:00:00,R,104,Liverpool HS (NY),,N,Round 3,116671,113
Sherman Corbett,205,Y,4,3,3,JR,L,June Amateur Draft,6,6,1984,"Corbett, Sherman",60,Y,California Angels,American League,P,CAL,1962-11-03T00:00:00,L,103,Texas A&M,,N,Round 3,112668,108
Ron Johns,,N,,3,3,JR,,June Amateur Draft,,7,1984,"Johns, Ron",61,Y,St. Louis Cardinals,National League,1B,STL,,,104,Cal Poly Pomona,,N,Round 3,560455,138
John Verducci,,N,,3,3,JR,,June Amateur Draft,,8,1984,"Verducci, John",62,N,Minnesota Twins,American League,SS,MIN,,,103,Stanford,,N,Round 3,568143,142
Tony Perezchica,165,Y,11,3,3,JR,R,June Amateur Draft,5,9,1984,"Perezchica, Tony",63,Y,San Francisco Giants,National League,SS,SF,1966-04-20T00:00:00,R,104,Palm Springs HS (CA),,N,Round 3,120418,137
Mark Howie,180,N,0,3,3,JR,R,June Amateur Draft,6,10,1984,"Howie, Mark",64,Y,Oakland Athletics,American League,SS,OAK,1962-12-27T00:00:00,R,103,Louisiana State,,N,Round 3,443351,133
Brad Pounders,,N,0,3,3,JR,R,June Amateur Draft,,11,1984,"Pounders, Brad",65,Y,San Diego Padres,National League,3B,SD,1963-09-01T00:00:00,R,104,UC Riverside,,N,Round 3,457355,135
Sid Akins,175,N,4,3,3,JR,R,June Amateur Draft,6,12,1984,"Akins, Sid",66,Y,Texas Rangers,American League,P,TEX,1962-11-14T00:00:00,R,103,Southern California,,N,Round 3,459677,140
Kevin Garner,205,N,2,3,3,JR,L,June Amateur Draft,6,13,1984,"Garner, Kevin",67,Y,Montreal Expos,National League,P,MON,1965-12-21T00:00:00,R,104,"Brazoswood HS (Lake Jackson, TX)",,N,Round 3,451980,120
Brock Knight,,N,0,3,3,JR,,June Amateur Draft,,14,1984,"Knight, Brock",68,N,Boston Red Sox,American League,P,BOS,,,103,American Fork HS (UT),,N,Round 3,474480,111
Barry Jones,225,Y,4,3,3,JR,R,June Amateur Draft,6,15,1984,"Jones, Barry",69,Y,Pittsburgh Pirates,National League,P,PIT,1963-02-15T00:00:00,R,104,Indiana,,N,Round 3,116664,134
Bobby Bell,190,N,0,3,3,JR,R,June Amateur Draft,6,16,1984,"Bell, Bobby",70,N,Kansas City Royals,American League,OF,KC,1965-09-15T00:00:00,R,103,Gardena HS (CA),,N,Round 3,594651,118
Ken Caminiti,200,Y,0,3,3,JR,S,June Amateur Draft,6,17,1984,"Caminiti, Ken",71,Y,Houston Astros,National League,3B,HOU,1963-04-21T00:00:00,R,104,San Jose State,,N,Round 3,111908,117
Warren Olson,,N,,3,3,JR,,June Amateur Draft,,18,1984,"Olson, Warren",72,Y,Milwaukee Brewers,American League,C,MIL,,,103,Medford HS (MA),,N,Round 3,563999,158
Mathew Rowe,,N,0,3,3,JR,,June Amateur Draft,,19,1984,"Rowe, Mathew",73,N,Atlanta Braves,National League,P,ATL,,,104,Pepperdine,,N,Round 3,473775,144
Greg Myers,225,Y,2,3,3,JR,L,June Amateur Draft,6,20,1984,"Myers, Greg",74,Y,Toronto Blue Jays,American League,OF,TOR,1966-04-14T00:00:00,R,103,"Riverside Poly HS (Riverside, CA)",,N,Round 3,119616,141
Scott Hufford,190,N,0,3,3,JR,R,June Amateur Draft,6,21,1984,"Hufford, Scott",75,Y,Philadelphia Phillies,National League,OF,PHI,,R,104,Pacific Grove HS (CA),,N,Round 3,474000,143
Mo Sanford,220,Y,6,3,3,JR,R,June Amateur Draft,6,22,1984,"Sanford, Mo",76,Y,New York Yankees,American League,P,NYY,1966-12-24T00:00:00,R,103,Starkville HS (MS),,N,Round 3,121685,147
Tracy Woodson,215,Y,3,3,3,JR,R,June Amateur Draft,6,23,1984,"Woodson, Tracy",77,Y,Los Angeles Dodgers,National League,1B,LA,1962-10-05T00:00:00,R,104,North Carolina State,,N,Round 3,124567,119
Martin Freeman,185,N,0,3,3,JR,R,June Amateur Draft,6,24,1984,"Freeman, Martin",78,N,Detroit Tigers,American League,OF,DET,1963-01-01T00:00:00,R,103,Maryland,,N,Round 3,626785,116
Greg Talamantez,0,N,0,3,3,JR,R,June Amateur Draft,0,25,1984,"Talamantez, Greg",79,Y,Baltimore Orioles,American League,P,BAL,1965-10-17T00:00:00,R,103,Idaho Falls HS (ID),,N,Round 3,455578,110
Kenton Torve,,N,0,3,3,JR,,June Amateur Draft,,26,1984,"Torve, Kenton",80,N,Chicago White Sox,American League,3B,CWS,,,103,San Diego State,,N,Round 3,475118,145
Jeff Howes,,N,,4,4,JR,,June Amateur Draft,,1,1984,"Howes, Jeff",81,N,New York Mets,National League,P,NYM,,,104,Plainville HS (CT),,N,Round 4,560046,121
Stephen Rousey,,N,0,4,4,JR,,June Amateur Draft,,2,1984,"Rousey, Stephen",82,N,Seattle Mariners,American League,P,SEA,,,103,Cal State Fullerton,,N,Round 4,474913,136
Dave Liddell,190,Y,0,4,4,JR,R,June Amateur Draft,6,3,1984,"Liddell, Dave",83,Y,Chicago Cubs,National League,OF,CHC,1966-06-15T00:00:00,R,104,"Rubidoux HS (Riverside, CA)",,N,Round 4,117754,112
Pete Carganilla,,N,,4,4,JR,,June Amateur Draft,,4,1984,"Carganilla, Pete",84,N,Cleveland Indians,American League,SS,CLE,,,103,Porterville HS (CA),,N,Round 4,556499,114
Steve Kennelley,,N,,4,4,JR,,June Amateur Draft,,5,1984,"Kennelley, Steve",85,N,Cincinnati Reds,National League,SS,CIN,,,104,"Golden West HS (Visalia, CA)",,N,Round 4,560954,113
Kent Anderson,180,Y,1,4,4,JR,R,June Amateur Draft,6,6,1984,"Anderson, Kent",86,Y,California Angels,American League,SS,CAL,1963-08-12T00:00:00,R,103,South Carolina,,N,Round 4,110246,108
Brett Harrison,,N,,4,4,JR,,June Amateur Draft,,7,1984,"Harrison, Brett",87,Y,St. Louis Cardinals,National League,SS,STL,,,104,Arkansas,,N,Round 4,559342,138
Larry Blackwell,,N,0,4,4,JR,R,June Amateur Draft,,8,1984,"Blackwell, Larry",88,Y,Minnesota Twins,American League,SS,MIN,1964-10-07T00:00:00,R,103,Dinwiddie HS (VA),,N,Round 4,455569,142
Keith Silver,,N,,4,4,JR,,June Amateur Draft,,9,1984,"Silver, Keith",89,N,San Francisco Giants,National League,P,SF,,,104,Lamar,,N,Round 4,567049,137
Russ Kibler,,N,,4,4,JR,,June Amateur Draft,,10,1984,"Kibler, Russ",90,Y,Oakland Athletics,American League,P,OAK,,,103,Florida,,N,Round 4,560999,133
Larry Melton,198,N,3,4,4,JR,R,June Amateur Draft,6,11,1984,"Melton, Larry",91,Y,San Diego Padres,National League,P,SD,1963-02-23T00:00:00,R,104,Portland,,N,Round 4,466685,135
Scott Ruskin,185,Y,2,4,4,JR,R,June Amateur Draft,6,12,1984,"Ruskin, Scott",92,Y,Texas Rangers,American League,OF,TEX,1963-06-08T00:00:00,L,103,Florida,,N,Round 4,121560,140
Gary Wayne,192,Y,3,4,4,JR,L,June Amateur Draft,6,13,1984,"Wayne, Gary",93,Y,Montreal Expos,National League,P,MON,1962-11-30T00:00:00,L,104,Michigan,,N,Round 4,123997,120
Sean Berry,210,Y,11,4,4,JR,R,June Amateur Draft,5,14,1984,"Berry, Sean",94,Y,Boston Red Sox,American League,SS,BOS,1966-03-22T00:00:00,R,103,West Torrance HS (CA),,N,Round 4,110937,111
Scott Mackie,0,N,0,4,4,JR,S,June Amateur Draft,0,15,1984,"Mackie, Scott",95,Y,Pittsburgh Pirates,National League,OF,PIT,1966-10-24T00:00:00,R,104,Elkton HS (MD),,N,Round 4,463156,134
Jim Daniel,,N,,4,4,JR,,June Amateur Draft,,16,1984,"Daniel, Jim",96,Y,Kansas City Royals,American League,P,KC,,,103,Wichita State,,N,Round 4,557384,118
Donald Dunster,,N,0,4,4,JR,,June Amateur Draft,,17,1984,"Dunster, Donald",97,Y,Houston Astros,National League,P,HOU,,,104,Saint Mary's (CA),,N,Round 4,474511,117
Rod Zeratsky,,N,,4,4,JR,,June Amateur Draft,,18,1984,"Zeratsky, Rod",98,N,Milwaukee Brewers,American League,C,MIL,,,103,Indiana State,,N,Round 4,569321,158
Flavio Alfaro,,N,,4,4,JR,,June Amateur Draft,,19,1984,"Alfaro, Flavio",99,N,Atlanta Braves,National League,SS,ATL,,,104,San Diego State,,N,Round 4,554595,144
Pat Saitta,195,N,3,4,4,JR,R,June Amateur Draft,6,20,1984,"Saitta, Pat",100,N,Toronto Blue Jays,American League,P,TOR,1963-04-24T00:00:00,R,103,Concordia College,,N,Round 4,566403,141
B.J. Surhoff,215,Y,1,1,1,JR,L,June Amateur Draft,6,1,1985,"Surhoff, B.J.",1,Y,Milwaukee Brewers,American League,SS,MIL,1964-08-04T00:00:00,R,103,North Carolina,,N,Round 1,122989,158
Will Clark,190,Y,1,1,1,JR,L,June Amateur Draft,6,2,1985,"Clark, Will",2,Y,San Francisco Giants,National League,1B,SF,1964-03-13T00:00:00,L,104,Mississippi State,,N,Round 1,112345,137
Bobby Witt,205,Y,2,1,1,JR,R,June Amateur Draft,6,3,1985,"Witt, Bobby",3,Y,Texas Rangers,American League,P,TEX,1964-05-11T00:00:00,R,103,Oklahoma,,N,Round 1,124492,140
Barry Larkin,185,Y,0,1,1,JR,R,June Amateur Draft,6,4,1985,"Larkin, Barry",4,Y,Cincinnati Reds,National League,SS,CIN,1964-04-28T00:00:00,R,104,Michigan,,N,Round 1,117501,113
Kurt Brown,200,N,2,1,1,JR,R,June Amateur Draft,6,5,1985,"Brown, Kurt",5,Y,Chicago White Sox,American League,C,CWS,1967-03-04T00:00:00,R,103,Glendora HS (CA),,N,Round 1,448427,145
Barry Bonds,240,Y,2,1,1,JR,L,June Amateur Draft,6,6,1985,"Bonds, Barry",6,N,Pittsburgh Pirates,National League,OF,PIT,1964-07-24T00:00:00,L,104,Arizona State,,N,Round 1,111188,134
Mike Campbell,210,Y,3,1,1,JR,R,June Amateur Draft,6,7,1985,"Campbell, Mike",7,Y,Seattle Mariners,American League,P,SEA,1964-02-17T00:00:00,R,103,Hawaii,,N,Round 1,111935,136
Pete Incaviglia,230,Y,1,1,1,JR,R,June Amateur Draft,6,8,1985,"Incaviglia, Pete",8,Y,Montreal Expos,National League,3B,MON,1964-04-02T00:00:00,R,104,Oklahoma State,,N,Round 1,116386,120
Michael Poehl,0,N,0,1,1,JR,R,June Amateur Draft,0,9,1985,"Poehl, Michael",9,Y,Cleveland Indians,American League,P,CLE,1964-08-28T00:00:00,R,103,Texas,,N,Round 1,457363,114
Chris Gwynn,210,Y,0,1,1,JR,L,June Amateur Draft,6,10,1985,"Gwynn, Chris",10,Y,Los Angeles Dodgers,National League,OF,LA,1964-10-13T00:00:00,L,104,San Diego State,,N,Round 1,115271,119
Walt Weiss,175,Y,0,1,1,JR,S,June Amateur Draft,6,11,1985,"Weiss, Walt",11,Y,Oakland Athletics,American League,SS,OAK,1963-11-28T00:00:00,R,103,North Carolina,,N,Round 1,124054,133
Cameron Drew,230,Y,5,1,1,JR,L,June Amateur Draft,6,12,1985,"Drew, Cameron",12,Y,Houston Astros,National League,OF,HOU,1964-02-12T00:00:00,R,104,New Haven,,N,Round 1,113562,117
